"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Sep 14 17:22:18 GMT 2023","Thu Sep 14 17:22:18 GMT 2023","0","","guru.junit.minijunit.DemoTest","","guru.junit.minijunit.DemoTest","demo","demo()",""
"passed","Thu Sep 14 17:22:16 GMT 2023","Thu Sep 14 17:22:17 GMT 2023","1080","","guru.junit.SelenideTest","","guru.junit.SelenideTest","selenideSiteShouldContainAllButtonsForGivenLocale","selenideSiteShouldContainAllButtonsForGivenLocale(Locale, List) Для локали EN отображаются кнопки [Quick start, Docs, FAQ, Blog, Javadoc, Users, Quotes]",""
"passed","Thu Sep 14 17:21:43 GMT 2023","Thu Sep 14 17:21:50 GMT 2023","6417","","demo.TestBoxTest","","demo.TestBoxTest","testBoxTest","testBoxTest()",""
"skipped","Thu Sep 14 17:22:06 GMT 2023","Thu Sep 14 17:22:06 GMT 2023","0","","selenide.StudentRegistrationForm","","selenide.StudentRegistrationForm","fillStudentForm","fillStudentForm()",""
"passed","Thu Sep 14 17:21:52 GMT 2023","Thu Sep 14 17:21:57 GMT 2023","4827","","eroshenko.allure.SelenideTest","","eroshenko.allure.SelenideTest","issueSearchTest","issueSearchTest()",""
"passed","Thu Sep 14 17:21:59 GMT 2023","Thu Sep 14 17:22:04 GMT 2023","4316","","eroshenko.allure.SelenideStepsTest","","eroshenko.allure.SelenideStepsTest","testAnnotatedStep","testAnnotatedStep()",""
"skipped","Thu Sep 14 17:21:43 GMT 2023","Thu Sep 14 17:21:43 GMT 2023","1","","LoginTests","","LoginTests","successfulLoginTest","successfulLoginTest()",""
"passed","Thu Sep 14 17:21:59 GMT 2023","Thu Sep 14 17:21:59 GMT 2023","4","","eroshenko.allure.SelenideLabelsStepsTest","","eroshenko.allure.SelenideLabelsStepsTest","testStaticLabels","Проверка создания Issue для авторизованного пользователя",""
"passed","Thu Sep 14 17:21:57 GMT 2023","Thu Sep 14 17:21:58 GMT 2023","706","","eroshenko.allure.SelenideAttachmentTest","","eroshenko.allure.SelenideAttachmentTest","testAttachmentsStep","testAttachmentsStep()",""
"passed","Thu Sep 14 17:21:50 GMT 2023","Thu Sep 14 17:21:52 GMT 2023","2671","","demo.TestBoxTestFaker","","demo.TestBoxTestFaker","testBoxTestFaker","testBoxTestFaker()",""
"passed","Thu Sep 14 17:22:12 GMT 2023","Thu Sep 14 17:22:16 GMT 2023","3595","","com.github.SelenideRepositorySearch","","com.github.SelenideRepositorySearch","shouldFindSelenideRepositoryAtTheTop","shouldFindSelenideRepositoryAtTheTop()",""
"skipped","Thu Sep 14 17:22:18 GMT 2023","Thu Sep 14 17:22:18 GMT 2023","0","","guru.junit.JunitSimpleTest","","guru.junit.JunitSimpleTest","simpleTest","Демонстрационный тест",""
"passed","Thu Sep 14 17:22:07 GMT 2023","Thu Sep 14 17:22:12 GMT 2023","5896","","com.github.SelenideRepositorySearch","","com.github.SelenideRepositorySearch","solntsevShouldBeOk","solntsevShouldBeOk()",""
"passed","Thu Sep 14 17:21:59 GMT 2023","Thu Sep 14 17:21:59 GMT 2023","6","","eroshenko.allure.SelenideLabelsStepsTest","","eroshenko.allure.SelenideLabelsStepsTest","testDynamicLabels","testDynamicLabels()",""
"passed","Thu Sep 14 17:22:04 GMT 2023","Thu Sep 14 17:22:06 GMT 2023","2784","","eroshenko.allure.SelenideStepsTest","","eroshenko.allure.SelenideStepsTest","testLambdaStep","testLambdaStep()",""
"skipped","Thu Sep 14 17:22:07 GMT 2023","Thu Sep 14 17:22:07 GMT 2023","0","","selenide.StudentRegFormPO","","selenide.StudentRegFormPO","regStudent","regStudent()",""
"passed","Thu Sep 14 17:22:07 GMT 2023","Thu Sep 14 17:22:07 GMT 2023","5","","junit.FirstJunitTes","","junit.FirstJunitTes","secondTest","secondTest()",""
"passed","Thu Sep 14 17:21:58 GMT 2023","Thu Sep 14 17:21:59 GMT 2023","1504","","eroshenko.allure.SelenideAttachmentTest","","eroshenko.allure.SelenideAttachmentTest","testAnnotatedAttachmentsStep","testAnnotatedAttachmentsStep()",""
"skipped","Thu Sep 14 17:22:18 GMT 2023","Thu Sep 14 17:22:18 GMT 2023","0","","guru.junit.JunitSimpleTest","","guru.junit.JunitSimpleTest","simpleSecondTest","simpleSecondTest()",""
"passed","Thu Sep 14 17:22:07 GMT 2023","Thu Sep 14 17:22:07 GMT 2023","3","","junit.FirstJunitTes","","junit.FirstJunitTes","firstTest","firstTest()",""
"skipped","Thu Sep 14 17:22:18 GMT 2023","Thu Sep 14 17:22:18 GMT 2023","0","","guru.junit.JunitSimpleTest","","guru.junit.JunitSimpleTest","parametrizeValueTest","parametrizeValueTest(String)",""
"skipped","Thu Sep 14 17:21:43 GMT 2023","Thu Sep 14 17:21:43 GMT 2023","1","","LoginTests","","LoginTests","unsuccessfulLoginTest","unsuccessfulLoginTest()",""
"skipped","Thu Sep 14 17:22:18 GMT 2023","Thu Sep 14 17:22:18 GMT 2023","0","","guru.junit.JunitSimpleTest","","guru.junit.JunitSimpleTest","parametrizeTest","parametrizeTest(String, String)",""
"passed","Thu Sep 14 17:22:17 GMT 2023","Thu Sep 14 17:22:18 GMT 2023","945","","guru.junit.SelenideTest","","guru.junit.SelenideTest","selenideSiteShouldContainAllButtonsForGivenLocale","selenideSiteShouldContainAllButtonsForGivenLocale(Locale, List) Для локали RU отображаются кнопки [С чего начать?, Док, ЧАВО, Блог, Javadoc, Пользователи, Отзывы]",""
