"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 14 16:56:00 GMT 2023","Thu Sep 14 16:56:06 GMT 2023","6108","","com.github.SelenideRepositorySearch","","com.github.SelenideRepositorySearch","solntsevShouldBeOk","solntsevShouldBeOk()",""
"skipped","Thu Sep 14 16:56:11 GMT 2023","Thu Sep 14 16:56:11 GMT 2023","0","","guru.junit.JunitSimpleTest","","guru.junit.JunitSimpleTest","parametrizeValueTest","parametrizeValueTest(String)",""
"passed","Thu Sep 14 16:55:54 GMT 2023","Thu Sep 14 16:55:57 GMT 2023","3517","","eroshenko.allure.SelenideStepsTest","","eroshenko.allure.SelenideStepsTest","testAnnotatedStep","testAnnotatedStep()",""
"skipped","Thu Sep 14 16:56:11 GMT 2023","Thu Sep 14 16:56:11 GMT 2023","0","","guru.junit.minijunit.DemoTest","","guru.junit.minijunit.DemoTest","demo","demo()",""
"passed","Thu Sep 14 16:55:45 GMT 2023","Thu Sep 14 16:55:48 GMT 2023","2754","","demo.TestBoxTestFaker","","demo.TestBoxTestFaker","testBoxTestFaker","testBoxTestFaker()",""
"skipped","Thu Sep 14 16:56:00 GMT 2023","Thu Sep 14 16:56:00 GMT 2023","0","","selenide.StudentRegFormPO","","selenide.StudentRegFormPO","regStudent","regStudent()",""
"passed","Thu Sep 14 16:55:52 GMT 2023","Thu Sep 14 16:55:52 GMT 2023","703","","eroshenko.allure.SelenideAttachmentTest","","eroshenko.allure.SelenideAttachmentTest","testAttachmentsStep","testAttachmentsStep()",""
"passed","Thu Sep 14 16:56:10 GMT 2023","Thu Sep 14 16:56:11 GMT 2023","985","","guru.junit.SelenideTest","","guru.junit.SelenideTest","selenideSiteShouldContainAllButtonsForGivenLocale","selenideSiteShouldContainAllButtonsForGivenLocale(Locale, List) Для локали EN отображаются кнопки [Quick start, Docs, FAQ, Blog, Javadoc, Users, Quotes]",""
"skipped","Thu Sep 14 16:56:11 GMT 2023","Thu Sep 14 16:56:11 GMT 2023","0","","guru.junit.JunitSimpleTest","","guru.junit.JunitSimpleTest","parametrizeTest","parametrizeTest(String, String)",""
"passed","Thu Sep 14 16:56:06 GMT 2023","Thu Sep 14 16:56:10 GMT 2023","3411","","com.github.SelenideRepositorySearch","","com.github.SelenideRepositorySearch","shouldFindSelenideRepositoryAtTheTop","shouldFindSelenideRepositoryAtTheTop()",""
"skipped","Thu Sep 14 16:55:37 GMT 2023","Thu Sep 14 16:55:37 GMT 2023","1","","LoginTests","","LoginTests","successfulLoginTest","successfulLoginTest()",""
"passed","Thu Sep 14 16:56:00 GMT 2023","Thu Sep 14 16:56:00 GMT 2023","3","","junit.FirstJunitTes","","junit.FirstJunitTes","secondTest","secondTest()",""
"passed","Thu Sep 14 16:55:57 GMT 2023","Thu Sep 14 16:56:00 GMT 2023","2640","","eroshenko.allure.SelenideStepsTest","","eroshenko.allure.SelenideStepsTest","testLambdaStep","testLambdaStep()",""
"passed","Thu Sep 14 16:55:52 GMT 2023","Thu Sep 14 16:55:54 GMT 2023","1549","","eroshenko.allure.SelenideAttachmentTest","","eroshenko.allure.SelenideAttachmentTest","testAnnotatedAttachmentsStep","testAnnotatedAttachmentsStep()",""
"skipped","Thu Sep 14 16:56:11 GMT 2023","Thu Sep 14 16:56:11 GMT 2023","0","","guru.junit.JunitSimpleTest","","guru.junit.JunitSimpleTest","simpleTest","Демонстрационный тест",""
"passed","Thu Sep 14 16:56:11 GMT 2023","Thu Sep 14 16:56:11 GMT 2023","721","","guru.junit.SelenideTest","","guru.junit.SelenideTest","selenideSiteShouldContainAllButtonsForGivenLocale","selenideSiteShouldContainAllButtonsForGivenLocale(Locale, List) Для локали RU отображаются кнопки [С чего начать?, Док, ЧАВО, Блог, Javadoc, Пользователи, Отзывы]",""
"skipped","Thu Sep 14 16:56:11 GMT 2023","Thu Sep 14 16:56:11 GMT 2023","0","","guru.junit.JunitSimpleTest","","guru.junit.JunitSimpleTest","simpleSecondTest","simpleSecondTest()",""
"passed","Thu Sep 14 16:55:54 GMT 2023","Thu Sep 14 16:55:54 GMT 2023","7","","eroshenko.allure.SelenideLabelsStepsTest","","eroshenko.allure.SelenideLabelsStepsTest","testStaticLabels","Проверка создания Issue для авторизованного пользователя",""
"passed","Thu Sep 14 16:55:48 GMT 2023","Thu Sep 14 16:55:52 GMT 2023","4056","","eroshenko.allure.SelenideTest","","eroshenko.allure.SelenideTest","issueSearchTest","issueSearchTest()",""
"passed","Thu Sep 14 16:55:54 GMT 2023","Thu Sep 14 16:55:54 GMT 2023","2","","eroshenko.allure.SelenideLabelsStepsTest","","eroshenko.allure.SelenideLabelsStepsTest","testDynamicLabels","testDynamicLabels()",""
"skipped","Thu Sep 14 16:56:00 GMT 2023","Thu Sep 14 16:56:00 GMT 2023","0","","selenide.StudentRegistrationForm","","selenide.StudentRegistrationForm","fillStudentForm","fillStudentForm()",""
"passed","Thu Sep 14 16:55:37 GMT 2023","Thu Sep 14 16:55:45 GMT 2023","7973","","demo.TestBoxTest","","demo.TestBoxTest","testBoxTest","testBoxTest()",""
"passed","Thu Sep 14 16:56:00 GMT 2023","Thu Sep 14 16:56:00 GMT 2023","5","","junit.FirstJunitTes","","junit.FirstJunitTes","firstTest","firstTest()",""
"passed","Thu Sep 14 16:55:37 GMT 2023","Thu Sep 14 16:55:37 GMT 2023","27","","LoginTests","","LoginTests","unsuccessfulLoginTest","unsuccessfulLoginTest()",""
