"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Sep 14 17:11:21 GMT 2023","Thu Sep 14 17:11:21 GMT 2023","2","","guru.junit.JunitSimpleTest","","guru.junit.JunitSimpleTest","simpleSecondTest","simpleSecondTest()",""
"passed","Thu Sep 14 17:11:10 GMT 2023","Thu Sep 14 17:11:16 GMT 2023","5971","","com.github.SelenideRepositorySearch","","com.github.SelenideRepositorySearch","solntsevShouldBeOk","solntsevShouldBeOk()",""
"skipped","Thu Sep 14 17:10:47 GMT 2023","Thu Sep 14 17:10:47 GMT 2023","1","","LoginTests","","LoginTests","successfulLoginTest","successfulLoginTest()",""
"passed","Thu Sep 14 17:11:10 GMT 2023","Thu Sep 14 17:11:10 GMT 2023","1","","junit.FirstJunitTes","","junit.FirstJunitTes","secondTest","secondTest()",""
"skipped","Thu Sep 14 17:11:21 GMT 2023","Thu Sep 14 17:11:21 GMT 2023","0","","guru.junit.JunitSimpleTest","","guru.junit.JunitSimpleTest","parametrizeValueTest","parametrizeValueTest(String)",""
"skipped","Thu Sep 14 17:11:10 GMT 2023","Thu Sep 14 17:11:10 GMT 2023","0","","selenide.StudentRegFormPO","","selenide.StudentRegFormPO","regStudent","regStudent()",""
"passed","Thu Sep 14 17:11:20 GMT 2023","Thu Sep 14 17:11:21 GMT 2023","963","","guru.junit.SelenideTest","","guru.junit.SelenideTest","selenideSiteShouldContainAllButtonsForGivenLocale","selenideSiteShouldContainAllButtonsForGivenLocale(Locale, List) Для локали EN отображаются кнопки [Quick start, Docs, FAQ, Blog, Javadoc, Users, Quotes]",""
"passed","Thu Sep 14 17:11:04 GMT 2023","Thu Sep 14 17:11:04 GMT 2023","1","","eroshenko.allure.SelenideLabelsStepsTest","","eroshenko.allure.SelenideLabelsStepsTest","testDynamicLabels","testDynamicLabels()",""
"passed","Thu Sep 14 17:11:04 GMT 2023","Thu Sep 14 17:11:08 GMT 2023","3641","","eroshenko.allure.SelenideStepsTest","","eroshenko.allure.SelenideStepsTest","testAnnotatedStep","testAnnotatedStep()",""
"passed","Thu Sep 14 17:11:16 GMT 2023","Thu Sep 14 17:11:20 GMT 2023","3454","","com.github.SelenideRepositorySearch","","com.github.SelenideRepositorySearch","shouldFindSelenideRepositoryAtTheTop","shouldFindSelenideRepositoryAtTheTop()",""
"skipped","Thu Sep 14 17:11:21 GMT 2023","Thu Sep 14 17:11:21 GMT 2023","0","","guru.junit.JunitSimpleTest","","guru.junit.JunitSimpleTest","simpleTest","Демонстрационный тест",""
"passed","Thu Sep 14 17:11:10 GMT 2023","Thu Sep 14 17:11:10 GMT 2023","3","","junit.FirstJunitTes","","junit.FirstJunitTes","firstTest","firstTest()",""
"skipped","Thu Sep 14 17:11:10 GMT 2023","Thu Sep 14 17:11:10 GMT 2023","0","","selenide.StudentRegistrationForm","","selenide.StudentRegistrationForm","fillStudentForm","fillStudentForm()",""
"passed","Thu Sep 14 17:11:08 GMT 2023","Thu Sep 14 17:11:10 GMT 2023","2379","","eroshenko.allure.SelenideStepsTest","","eroshenko.allure.SelenideStepsTest","testLambdaStep","testLambdaStep()",""
"passed","Thu Sep 14 17:10:47 GMT 2023","Thu Sep 14 17:10:55 GMT 2023","7956","","demo.TestBoxTest","","demo.TestBoxTest","testBoxTest","testBoxTest()",""
"passed","Thu Sep 14 17:10:55 GMT 2023","Thu Sep 14 17:10:57 GMT 2023","2492","","demo.TestBoxTestFaker","","demo.TestBoxTestFaker","testBoxTestFaker","testBoxTestFaker()",""
"passed","Thu Sep 14 17:10:47 GMT 2023","Thu Sep 14 17:10:47 GMT 2023","23","","LoginTests","","LoginTests","unsuccessfulLoginTest","unsuccessfulLoginTest()",""
"passed","Thu Sep 14 17:11:02 GMT 2023","Thu Sep 14 17:11:04 GMT 2023","1921","","eroshenko.allure.SelenideAttachmentTest","","eroshenko.allure.SelenideAttachmentTest","testAnnotatedAttachmentsStep","testAnnotatedAttachmentsStep()",""
"skipped","Thu Sep 14 17:11:21 GMT 2023","Thu Sep 14 17:11:21 GMT 2023","0","","guru.junit.minijunit.DemoTest","","guru.junit.minijunit.DemoTest","demo","demo()",""
"passed","Thu Sep 14 17:10:57 GMT 2023","Thu Sep 14 17:11:02 GMT 2023","4235","","eroshenko.allure.SelenideTest","","eroshenko.allure.SelenideTest","issueSearchTest","issueSearchTest()",""
"passed","Thu Sep 14 17:11:02 GMT 2023","Thu Sep 14 17:11:02 GMT 2023","715","","eroshenko.allure.SelenideAttachmentTest","","eroshenko.allure.SelenideAttachmentTest","testAttachmentsStep","testAttachmentsStep()",""
"skipped","Thu Sep 14 17:11:21 GMT 2023","Thu Sep 14 17:11:21 GMT 2023","0","","guru.junit.JunitSimpleTest","","guru.junit.JunitSimpleTest","parametrizeTest","parametrizeTest(String, String)",""
"passed","Thu Sep 14 17:11:21 GMT 2023","Thu Sep 14 17:11:21 GMT 2023","715","","guru.junit.SelenideTest","","guru.junit.SelenideTest","selenideSiteShouldContainAllButtonsForGivenLocale","selenideSiteShouldContainAllButtonsForGivenLocale(Locale, List) Для локали RU отображаются кнопки [С чего начать?, Док, ЧАВО, Блог, Javadoc, Пользователи, Отзывы]",""
"passed","Thu Sep 14 17:11:04 GMT 2023","Thu Sep 14 17:11:04 GMT 2023","3","","eroshenko.allure.SelenideLabelsStepsTest","","eroshenko.allure.SelenideLabelsStepsTest","testStaticLabels","Проверка создания Issue для авторизованного пользователя",""
