"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Sep 14 17:34:05 GMT 2023","Thu Sep 14 17:34:05 GMT 2023","0","","guru.junit.JunitSimpleTest","","guru.junit.JunitSimpleTest","parametrizeTest","parametrizeTest(String, String)",""
"skipped","Thu Sep 14 17:34:05 GMT 2023","Thu Sep 14 17:34:05 GMT 2023","0","","guru.junit.JunitSimpleTest","","guru.junit.JunitSimpleTest","simpleSecondTest","simpleSecondTest()",""
"skipped","Thu Sep 14 17:33:21 GMT 2023","Thu Sep 14 17:33:21 GMT 2023","1","","LoginTests","","LoginTests","successfulLoginTest","successfulLoginTest()",""
"skipped","Thu Sep 14 17:33:22 GMT 2023","Thu Sep 14 17:33:22 GMT 2023","0","","LoginTests","","LoginTests","unsuccessfulLoginTest","unsuccessfulLoginTest()",""
"skipped","Thu Sep 14 17:33:52 GMT 2023","Thu Sep 14 17:33:52 GMT 2023","0","","selenide.StudentRegistrationForm","","selenide.StudentRegistrationForm","fillStudentForm","fillStudentForm()",""
"passed","Thu Sep 14 17:33:59 GMT 2023","Thu Sep 14 17:34:03 GMT 2023","4964","","com.github.SelenideRepositorySearch","","com.github.SelenideRepositorySearch","shouldFindSelenideRepositoryAtTheTop","shouldFindSelenideRepositoryAtTheTop()",""
"passed","Thu Sep 14 17:33:52 GMT 2023","Thu Sep 14 17:33:58 GMT 2023","6306","","com.github.SelenideRepositorySearch","","com.github.SelenideRepositorySearch","solntsevShouldBeOk","solntsevShouldBeOk()",""
"passed","Thu Sep 14 17:33:22 GMT 2023","Thu Sep 14 17:33:31 GMT 2023","9802","","demo.TestBoxTest","","demo.TestBoxTest","testBoxTest","testBoxTest()",""
"passed","Thu Sep 14 17:34:05 GMT 2023","Thu Sep 14 17:34:05 GMT 2023","853","","guru.junit.SelenideTest","","guru.junit.SelenideTest","selenideSiteShouldContainAllButtonsForGivenLocale","selenideSiteShouldContainAllButtonsForGivenLocale(Locale, List) Для локали RU отображаются кнопки [С чего начать?, Док, ЧАВО, Блог, Javadoc, Пользователи, Отзывы]",""
"passed","Thu Sep 14 17:33:44 GMT 2023","Thu Sep 14 17:33:48 GMT 2023","4044","","eroshenko.allure.SelenideStepsTest","","eroshenko.allure.SelenideStepsTest","testAnnotatedStep","testAnnotatedStep()",""
"passed","Thu Sep 14 17:33:41 GMT 2023","Thu Sep 14 17:33:42 GMT 2023","947","","eroshenko.allure.SelenideAttachmentTest","","eroshenko.allure.SelenideAttachmentTest","testAttachmentsStep","testAttachmentsStep()",""
"passed","Thu Sep 14 17:33:44 GMT 2023","Thu Sep 14 17:33:44 GMT 2023","1","","eroshenko.allure.SelenideLabelsStepsTest","","eroshenko.allure.SelenideLabelsStepsTest","testDynamicLabels","testDynamicLabels()",""
"skipped","Thu Sep 14 17:34:05 GMT 2023","Thu Sep 14 17:34:05 GMT 2023","0","","guru.junit.JunitSimpleTest","","guru.junit.JunitSimpleTest","simpleTest","Демонстрационный тест",""
"skipped","Thu Sep 14 17:34:05 GMT 2023","Thu Sep 14 17:34:05 GMT 2023","0","","guru.junit.JunitSimpleTest","","guru.junit.JunitSimpleTest","parametrizeValueTest","parametrizeValueTest(String)",""
"passed","Thu Sep 14 17:33:31 GMT 2023","Thu Sep 14 17:33:34 GMT 2023","2987","","demo.TestBoxTestFaker","","demo.TestBoxTestFaker","testBoxTestFaker","testBoxTestFaker()",""
"passed","Thu Sep 14 17:33:34 GMT 2023","Thu Sep 14 17:33:41 GMT 2023","6339","","eroshenko.allure.SelenideTest","","eroshenko.allure.SelenideTest","issueSearchTest","issueSearchTest()",""
"passed","Thu Sep 14 17:34:04 GMT 2023","Thu Sep 14 17:34:05 GMT 2023","1052","","guru.junit.SelenideTest","","guru.junit.SelenideTest","selenideSiteShouldContainAllButtonsForGivenLocale","selenideSiteShouldContainAllButtonsForGivenLocale(Locale, List) Для локали EN отображаются кнопки [Quick start, Docs, FAQ, Blog, Javadoc, Users, Quotes]",""
"skipped","Thu Sep 14 17:33:52 GMT 2023","Thu Sep 14 17:33:52 GMT 2023","0","","selenide.StudentRegFormPO","","selenide.StudentRegFormPO","regStudent","regStudent()",""
"passed","Thu Sep 14 17:33:44 GMT 2023","Thu Sep 14 17:33:44 GMT 2023","0","","eroshenko.allure.SelenideLabelsStepsTest","","eroshenko.allure.SelenideLabelsStepsTest","testStaticLabels","Проверка создания Issue для авторизованного пользователя",""
"passed","Thu Sep 14 17:33:52 GMT 2023","Thu Sep 14 17:33:52 GMT 2023","4","","junit.FirstJunitTes","","junit.FirstJunitTes","firstTest","firstTest()",""
"passed","Thu Sep 14 17:33:52 GMT 2023","Thu Sep 14 17:33:52 GMT 2023","3","","junit.FirstJunitTes","","junit.FirstJunitTes","secondTest","secondTest()",""
"skipped","Thu Sep 14 17:34:05 GMT 2023","Thu Sep 14 17:34:05 GMT 2023","0","","guru.junit.minijunit.DemoTest","","guru.junit.minijunit.DemoTest","demo","demo()",""
"passed","Thu Sep 14 17:33:42 GMT 2023","Thu Sep 14 17:33:44 GMT 2023","1931","","eroshenko.allure.SelenideAttachmentTest","","eroshenko.allure.SelenideAttachmentTest","testAnnotatedAttachmentsStep","testAnnotatedAttachmentsStep()",""
"passed","Thu Sep 14 17:33:48 GMT 2023","Thu Sep 14 17:33:52 GMT 2023","4264","","eroshenko.allure.SelenideStepsTest","","eroshenko.allure.SelenideStepsTest","testLambdaStep","testLambdaStep()",""
